0	1	2	3	4	1_binned	2_binned	3_binned	4_binned
1	0.869	-0.635	0.226	0.327	(0.745, 0.881]	(-0.727, -0.39]	(-0.0495, 0.416]	(0.018, 0.376]
1	0.908	0.329	0.359	1.498	(0.881, 1.045]	(-0.0025, 0.383]	(-0.0495, 0.416]	(1.27, 1.578]
1	0.799	1.471	-1.636	0.454	(0.745, 0.881]	(1.236, 2.43]	(-1.742, -1.358]	(0.376, 0.56]
0	1.344	-0.877	0.936	1.992	(1.267, 1.663]	(-1.216, -0.727]	(0.796, 1.272]	(1.578, 5.7]
1	1.105	0.321	1.522	0.883	(1.045, 1.267]	(-0.0025, 0.383]	(1.272, 1.743]	(0.727, 0.884]
0	1.596	-0.608	0.007	1.818	(1.267, 1.663]	(-0.727, -0.39]	(-0.0495, 0.416]	(1.578, 5.7]
1	0.409	-1.885	-1.027	1.672	(0.274, 0.463]	(-2.36, -1.216]	(-1.358, -0.897]	(1.578, 5.7]
1	0.934	0.629	0.528	0.238	(0.881, 1.045]	(0.383, 0.729]	(0.416, 0.796]	(0.018, 0.376]
1	1.405	0.537	0.69	1.18	(1.267, 1.663]	(0.383, 0.729]	(0.416, 0.796]	(1.084, 1.27]
1	1.177	0.104	1.397	0.48	(1.045, 1.267]	(-0.0025, 0.383]	(1.272, 1.743]	(0.376, 0.56]
1	0.946	1.111	1.218	0.908	(0.881, 1.045]	(0.729, 1.236]	(0.796, 1.272]	(0.884, 1.084]
0	0.739	-0.178	0.83	0.505	(0.617, 0.745]	(-0.39, -0.0025]	(0.796, 1.272]	(0.376, 0.56]
1	1.384	0.117	-1.18	0.763	(1.267, 1.663]	(-0.0025, 0.383]	(-1.358, -0.897]	(0.727, 0.884]
1	1.384	0.889	0.619	1.082	(1.267, 1.663]	(0.729, 1.236]	(0.416, 0.796]	(0.884, 1.084]
1	1.344	0.839	-1.061	2.472	(1.267, 1.663]	(0.729, 1.236]	(-1.358, -0.897]	(1.578, 5.7]
0	0.547	-0.35	-0.647	2.04	(0.463, 0.617]	(-0.39, -0.0025]	(-0.897, -0.498]	(1.578, 5.7]
1	1.484	1.7	-1.059	2.7	(1.267, 1.663]	(1.236, 2.43]	(-1.358, -0.897]	(1.578, 5.7]
0	1.058	-0.161	-0.195	2.705	(1.045, 1.267]	(-0.39, -0.0025]	(-0.498, -0.0495]	(1.578, 5.7]
0	0.675	1.121	-0.28	1.54	(0.617, 0.745]	(0.729, 1.236]	(-0.498, -0.0495]	(1.27, 1.578]
1	0.643	-1.43	1.519	0.941	(0.617, 0.745]	(-2.36, -1.216]	(1.272, 1.743]	(0.884, 1.084]
1	1.102	0.427	1.717	0.934	(1.045, 1.267]	(0.383, 0.729]	(1.272, 1.743]	(0.884, 1.084]
1	1.33	0.202	1.173	0.135	(1.267, 1.663]	(-0.0025, 0.383]	(0.796, 1.272]	(0.018, 0.376]
0	1.29	-1.423	-0.687	0.131	(1.267, 1.663]	(-2.36, -1.216]	(-0.897, -0.498]	(0.018, 0.376]
